transaction_id,company_name,date,amount,type,description
43,"García, Castro and Rendón S.A.S.",2024-08-13,990831.9,DEBIT,Dolores rem amet.
44,Gil-Salazar S.A.S.,2023-12-08,801523.98,CREDIT,Porro quis explicabo.
45,Castro-Flórez S.A.S.,2022-11-30,834313.21,DEBIT,Velit ipsa consequuntur rem tempora similique.
46,González Inc S.A.S.,2021-11-17,326212.33,DEBIT,Recusandae quia perspiciatis autem exercitationem.
47,Flórez Ltd S.A.S.,2022-02-15,871415.77,CREDIT,Impedit accusamus vel saepe soluta.
48,Garcés-Buitrago S.A.S.,2023-08-20,464255.91,DEBIT,Sapiente exercitationem quam voluptate quisquam.
49,Jaimes-Quintero S.A.S.,2022-05-13,448733.27,DEBIT,Dolorem omnis voluptates quos explicabo.
50,"Buitrago, García and García S.A.S.",2023-10-25,596223.33,DEBIT,Quo voluptates tempore eaque rerum.
51,"Gómez, Sanabria and Pulido S.A.S.",2022-03-01,291737.57,DEBIT,Expedita esse reiciendis animi ut.
52,Castro-Flórez S.A.S.,2020-07-05,501974.57,DEBIT,Magni necessitatibus quos.
53,Vargas-Álvarez S.A.S.,2021-02-26,258818.58,CREDIT,Expedita voluptatibus excepturi quas rem perspiciatis.
54,Garcés-Buitrago S.A.S.,2020-09-07,307932.06,CREDIT,Ullam provident quo.
55,Calderón and Sons S.A.S.,2021-11-22,404862.59,DEBIT,Odio eaque facere cumque excepturi.
56,Durán-Bernal S.A.S.,2021-06-25,489286.4,CREDIT,Quod nesciunt repellat natus.
57,"Reyes, Álvarez and Hernández S.A.S.",2025-03-30,57022.12,DEBIT,Voluptatem culpa eligendi ratione.
58,"Reyes, Álvarez and Hernández S.A.S.",2020-07-12,440663.13,DEBIT,Culpa praesentium praesentium.
59,"Palacios, Becerra and Rodríguez S.A.S.",2020-10-15,850269.19,CREDIT,Esse placeat fugiat itaque perferendis quia.
60,Garcés-Buitrago S.A.S.,2023-08-23,84376.68,DEBIT,Nihil enim vero.
61,"Palacios, Becerra and Rodríguez S.A.S.",2023-02-20,979033.3,DEBIT,Dignissimos necessitatibus vero dolorem.
62,Garcés-Buitrago S.A.S.,2024-09-20,852987.61,CREDIT,Ipsam animi sunt.
63,"Reyes, Álvarez and Hernández S.A.S.",2024-08-18,989346.72,DEBIT,Molestiae inventore aperiam.
64,Gil-Salazar S.A.S.,2024-01-01,408140.42,DEBIT,Labore natus ab aspernatur.
65,Posada-Peña S.A.S.,2024-11-02,117646.66,DEBIT,Id impedit doloribus eveniet quis quod.
66,Ramírez LLC S.A.S.,2023-02-27,660848.46,DEBIT,Possimus sapiente eaque.
67,Jaimes-Quintero S.A.S.,2023-11-06,283906.64,CREDIT,Itaque nemo laboriosam fuga deserunt quo.
68,Gil-Salazar S.A.S.,2024-07-08,959184.24,CREDIT,Iure eveniet in quam aspernatur.
69,Castro-Flórez S.A.S.,2022-07-26,115668.19,DEBIT,Iste nostrum consequuntur at facilis quae.
70,Rodríguez-Martínez S.A.S.,2022-11-09,529547.28,DEBIT,Ratione enim quos molestias.
71,Portilla-Palacios S.A.S.,2022-01-20,245160.54,CREDIT,Autem amet occaecati sequi esse rem.
72,Reyes-Zambrano S.A.S.,2024-02-14,798369.07,CREDIT,Autem saepe minus hic nostrum.
73,Reyes-Zambrano S.A.S.,2024-12-30,683153.68,CREDIT,Quae possimus quaerat facilis molestiae nam.
74,Rodríguez-Martínez S.A.S.,2023-04-18,633431.84,CREDIT,Assumenda nam corrupti aliquid.
75,Flórez Ltd S.A.S.,2023-07-20,818706.56,DEBIT,Placeat dicta rerum.
76,Vargas-Álvarez S.A.S.,2023-03-01,238730.42,DEBIT,Possimus ducimus ex necessitatibus amet eos.
77,Durán-Bernal S.A.S.,2023-04-23,697907.6,CREDIT,Esse perspiciatis repellendus.
78,"Pacheco, Velandia and Ávila S.A.S.",2024-07-20,167611.84,CREDIT,Fugiat a laudantium est.
79,Rodríguez-Martínez S.A.S.,2021-11-30,427698.08,CREDIT,Ipsa enim autem cumque officia adipisci.
80,"García, Castro and Rendón S.A.S.",2021-03-24,692324.07,CREDIT,Assumenda debitis tenetur maxime facere laborum.
81,Calderón and Sons S.A.S.,2022-06-05,660582.3,CREDIT,Incidunt facilis voluptas ipsam omnis.
82,Flórez Ltd S.A.S.,2024-05-18,456310.5,DEBIT,Sapiente unde est et.
83,"Pacheco, Velandia and Ávila S.A.S.",2023-06-21,868429.23,CREDIT,Quae numquam aliquam quae placeat ad.
84,Durán-Bernal S.A.S.,2022-10-24,541615.12,DEBIT,Modi omnis pariatur.
85,"Reyes, Álvarez and Hernández S.A.S.",2022-12-13,376980.15,CREDIT,Nulla praesentium ipsa quasi.
86,Vargas-Álvarez S.A.S.,2024-09-16,270823.37,DEBIT,Error neque optio deleniti similique suscipit.
87,"Galvis, Ramírez and Angarita S.A.S.",2024-01-17,222626.03,DEBIT,Quam fuga similique dolor.
88,Reyes-Zambrano S.A.S.,2023-05-09,533724.78,CREDIT,Perspiciatis nisi impedit rem.
89,"García, Castro and Rendón S.A.S.",2024-08-27,816275.78,DEBIT,Cum voluptates nostrum est facilis ipsa.
90,Muñoz LLC S.A.S.,2024-10-07,796576.7,CREDIT,Animi odio sit minima.
91,Durán-Bernal S.A.S.,2025-01-06,310781.51,DEBIT,Provident libero voluptas pariatur esse blanditiis suscipit.
92,Gil-Salazar S.A.S.,2020-10-13,47573.0,CREDIT,Laudantium quod aut ipsa cumque nesciunt.
93,Reyes-Zambrano S.A.S.,2024-08-14,512852.57,CREDIT,Earum molestias perspiciatis.
94,Jaimes-Quintero S.A.S.,2022-12-14,603656.68,DEBIT,Nulla facere dolor.
95,Castro-Flórez S.A.S.,2021-08-18,599193.85,DEBIT,Unde laudantium dolores repellendus sequi.
96,Ramírez LLC S.A.S.,2021-07-14,755871.71,CREDIT,Facere eaque inventore provident.
97,Vargas-Álvarez S.A.S.,2023-11-24,985500.48,CREDIT,Odit totam natus eaque amet eum.
98,Castro-Flórez S.A.S.,2021-09-14,236652.65,CREDIT,Deleniti occaecati voluptas.
99,"Pacheco, Velandia and Ávila S.A.S.",2022-04-22,331199.27,DEBIT,Nulla maxime eligendi molestias.
100,Portilla-Palacios S.A.S.,2023-09-21,516847.96,CREDIT,Consequatur reprehenderit facere.
101,"Galvis, Ramírez and Angarita S.A.S.",2021-05-27,814074.31,DEBIT,Commodi explicabo culpa provident qui nostrum.
102,Ramírez LLC S.A.S.,2022-02-25,770560.61,CREDIT,Molestias vitae quo ab.
103,Reyes-Zambrano S.A.S.,2023-08-16,57428.64,DEBIT,Iure suscipit vel.
104,Muñoz LLC S.A.S.,2024-09-25,505693.65,CREDIT,Ea corrupti eaque quod sapiente.
105,Flórez Ltd S.A.S.,2023-08-12,378680.88,CREDIT,Molestias temporibus maiores consectetur accusantium maxime.
106,"Palacios, Becerra and Rodríguez S.A.S.",2025-06-02,931717.69,CREDIT,Aperiam eos illo praesentium.
107,Gil-Salazar S.A.S.,2023-06-07,539154.17,CREDIT,Reiciendis iusto eveniet.
108,González Inc S.A.S.,2023-10-03,22656.68,CREDIT,At quas quod soluta.
109,"Pacheco, Velandia and Ávila S.A.S.",2021-08-20,23658.36,CREDIT,Commodi delectus magni nam.
110,"Buitrago, García and García S.A.S.",2023-03-07,423825.55,CREDIT,Repellendus dolore beatae explicabo vel rem.
111,Posada-Peña S.A.S.,2021-05-13,955361.32,DEBIT,Sint saepe officiis officia.
112,Oviedo-Domínguez S.A.S.,2021-10-08,850862.33,DEBIT,Nostrum dicta dolore.
113,Rodríguez-Martínez S.A.S.,2022-09-28,531901.15,CREDIT,Dicta quidem iste.
114,González Inc S.A.S.,2024-01-23,249826.48,CREDIT,Minus ex reprehenderit.
115,Flórez Ltd S.A.S.,2023-05-01,257314.05,DEBIT,Doloremque tempora modi perferendis.
116,Jaimes-Quintero S.A.S.,2024-03-25,275295.54,DEBIT,Vel commodi tempore.
117,"Buitrago, García and García S.A.S.",2024-08-27,830893.26,DEBIT,Qui ducimus eligendi.
118,Rodríguez-Martínez S.A.S.,2021-02-03,604366.66,CREDIT,Tempora dicta explicabo sint ipsam voluptate.
119,Castro-Flórez S.A.S.,2023-08-16,27990.35,DEBIT,Neque distinctio maxime excepturi.
120,González Inc S.A.S.,2025-03-09,781018.35,CREDIT,Dolore blanditiis ipsum rerum culpa.
121,Portilla-Palacios S.A.S.,2024-05-29,831703.25,DEBIT,Quaerat maiores iure eligendi.
122,"Gómez, Sanabria and Pulido S.A.S.",2024-10-12,412746.36,DEBIT,Reprehenderit facilis nesciunt unde.
123,Ramírez LLC S.A.S.,2022-05-21,640165.76,CREDIT,Quia nobis veniam laborum modi voluptas.
124,Flórez Ltd S.A.S.,2020-10-12,47830.44,DEBIT,Provident ducimus labore porro quibusdam.
125,Gil-Salazar S.A.S.,2023-06-13,654264.59,CREDIT,Voluptatibus a eum.
126,"García, Castro and Rendón S.A.S.",2022-07-18,823356.04,DEBIT,Qui rem esse incidunt.
127,Jaimes-Quintero S.A.S.,2020-08-11,176449.11,CREDIT,Quo officia tempora esse.
128,"García, Castro and Rendón S.A.S.",2023-10-28,57987.21,CREDIT,Praesentium provident in maxime quam.
129,González Inc S.A.S.,2021-04-15,726783.04,CREDIT,Facilis maiores deleniti hic.
130,González Inc S.A.S.,2021-12-17,826805.01,DEBIT,Quas voluptates voluptas.
131,Muñoz LLC S.A.S.,2020-06-28,859755.53,DEBIT,Enim molestiae debitis a praesentium.
132,Reyes-Zambrano S.A.S.,2020-09-15,312502.28,DEBIT,Labore quidem aspernatur.
133,Calderón and Sons S.A.S.,2020-07-09,126476.81,DEBIT,Soluta consequuntur expedita necessitatibus.
134,"Gómez, Sanabria and Pulido S.A.S.",2022-11-10,343689.47,CREDIT,Libero laudantium temporibus.
135,Jaimes-Quintero S.A.S.,2024-12-17,265013.09,DEBIT,Velit ut modi ipsum.
136,"Pacheco, Velandia and Ávila S.A.S.",2020-09-26,225884.49,CREDIT,Repudiandae eveniet nesciunt enim.
137,Muñoz LLC S.A.S.,2023-11-13,881775.07,DEBIT,Eveniet vero id ipsa in iusto.
138,Castro-Flórez S.A.S.,2024-05-22,304292.71,CREDIT,Voluptas unde rerum voluptatum.
139,Vargas-Álvarez S.A.S.,2023-07-03,632448.16,CREDIT,Magnam quasi ab.
140,"Palacios, Becerra and Rodríguez S.A.S.",2022-02-17,843132.48,DEBIT,Placeat facilis cumque.
141,Calderón and Sons S.A.S.,2020-11-24,168989.89,DEBIT,Numquam dolores quos.
142,"Buitrago, García and García S.A.S.",2021-08-26,372879.43,DEBIT,Provident distinctio maiores.
143,Flórez Ltd S.A.S.,2025-04-20,295306.01,DEBIT,Quisquam eos ipsum error maiores.
144,Flórez Ltd S.A.S.,2024-03-17,464156.1,DEBIT,Eius id perferendis laudantium.
145,Ramírez LLC S.A.S.,2021-12-18,474570.41,DEBIT,Maxime consequatur ut.
146,Oviedo-Domínguez S.A.S.,2021-03-06,764651.99,CREDIT,Quo quaerat necessitatibus similique nemo saepe.
147,Gil-Salazar S.A.S.,2020-10-26,177768.24,DEBIT,Voluptates vitae deserunt veniam aspernatur.
148,Portilla-Palacios S.A.S.,2022-06-04,431888.35,CREDIT,Incidunt maiores delectus veniam ratione.
149,Flórez Ltd S.A.S.,2023-05-07,498231.49,DEBIT,Rem qui eos.
150,Durán-Bernal S.A.S.,2022-09-09,722676.68,DEBIT,Atque tempore consectetur.
151,Reyes-Zambrano S.A.S.,2025-01-04,136548.33,CREDIT,Incidunt provident blanditiis sint id cupiditate.
152,"Gómez, Sanabria and Pulido S.A.S.",2024-10-13,730542.93,CREDIT,Sunt magnam reprehenderit similique.
153,Oviedo-Domínguez S.A.S.,2022-06-28,828149.53,DEBIT,Quis magnam veritatis ullam aliquam a.
154,"Pacheco, Velandia and Ávila S.A.S.",2024-04-14,436693.51,CREDIT,Consequatur consequuntur odit.
155,Rodríguez-Martínez S.A.S.,2021-12-04,962373.34,CREDIT,Vitae molestiae magnam itaque necessitatibus magni corporis.
156,Muñoz LLC S.A.S.,2025-01-29,30125.53,DEBIT,Molestias quaerat modi est.
157,Gil-Salazar S.A.S.,2022-06-17,24466.86,DEBIT,Odit nulla perspiciatis officia.
158,"García, Castro and Rendón S.A.S.",2021-07-17,764251.07,DEBIT,Quam repudiandae molestias.
159,"Galvis, Ramírez and Angarita S.A.S.",2020-11-20,739037.54,DEBIT,Vel dolorum numquam.
160,"Palacios, Becerra and Rodríguez S.A.S.",2021-04-07,336194.44,CREDIT,Corporis eligendi delectus ullam maxime eos.
161,"García, Castro and Rendón S.A.S.",2025-06-11,794782.51,CREDIT,Libero ullam a beatae.
162,"Palacios, Becerra and Rodríguez S.A.S.",2022-07-12,414047.27,CREDIT,Veniam necessitatibus deserunt.
163,Durán-Bernal S.A.S.,2024-08-31,5495.07,DEBIT,Earum omnis ratione.
164,Oviedo-Domínguez S.A.S.,2025-01-03,652586.61,DEBIT,Et ea ratione id quis.
165,"Pacheco, Velandia and Ávila S.A.S.",2023-03-09,884049.67,CREDIT,Beatae voluptatem at eveniet.
166,"Buitrago, García and García S.A.S.",2021-05-12,500597.34,DEBIT,Minima ut cum.
167,Castro-Flórez S.A.S.,2024-09-23,692087.32,DEBIT,Eos autem maiores enim ab.
168,Portilla-Palacios S.A.S.,2023-04-02,792581.79,CREDIT,Odio omnis vitae.
169,Garcés-Buitrago S.A.S.,2024-11-16,614443.12,DEBIT,Saepe perferendis reiciendis.
170,"Palacios, Becerra and Rodríguez S.A.S.",2024-05-06,388838.9,CREDIT,Sed rem quos rem quaerat possimus.
171,Gómez-Cardozo S.A.S.,2023-01-25,56430.94,DEBIT,Debitis beatae quis labore quidem.
172,Durán-Bernal S.A.S.,2020-08-12,742722.74,CREDIT,Esse cum perferendis.
173,"Reyes, Álvarez and Hernández S.A.S.",2020-10-05,593360.79,DEBIT,At harum hic.
174,Durán-Bernal S.A.S.,2023-11-23,240744.34,DEBIT,Perspiciatis inventore repellat.
175,"García, Castro and Rendón S.A.S.",2020-08-15,609758.45,DEBIT,Illum facere esse nesciunt placeat quos.
176,Flórez Ltd S.A.S.,2023-12-29,327937.32,CREDIT,Maxime sit asperiores odit.
177,"Reyes, Álvarez and Hernández S.A.S.",2021-08-03,319203.74,CREDIT,Provident animi exercitationem.
178,Posada-Peña S.A.S.,2021-03-30,740900.0,DEBIT,Alias nisi aliquam debitis.
179,Jaimes-Quintero S.A.S.,2024-03-27,211762.24,CREDIT,Dolore commodi excepturi porro.
180,Posada-Peña S.A.S.,2020-09-03,681066.69,CREDIT,Sapiente reprehenderit sequi.
181,"Reyes, Álvarez and Hernández S.A.S.",2023-04-20,644760.77,CREDIT,Distinctio ea consequuntur odit dolor architecto.
182,Vargas-Álvarez S.A.S.,2022-08-09,118018.94,DEBIT,Autem dolore ipsam blanditiis mollitia.
183,Ramírez LLC S.A.S.,2020-07-28,390415.47,DEBIT,Aspernatur illum neque.
184,Flórez Ltd S.A.S.,2024-01-02,581363.27,CREDIT,Neque et in recusandae voluptate.
185,Rodríguez-Martínez S.A.S.,2024-02-04,614600.7,CREDIT,Exercitationem dolore facere quas repellendus occaecati.
186,"Palacios, Becerra and Rodríguez S.A.S.",2022-07-27,127665.2,CREDIT,Cum repellendus vel.
187,"Gómez, Sanabria and Pulido S.A.S.",2022-09-26,152580.29,CREDIT,Perferendis aperiam mollitia autem.
188,Durán-Bernal S.A.S.,2022-09-18,951377.53,DEBIT,Ducimus officia a error vel.
189,Gómez-Cardozo S.A.S.,2024-09-13,1833.94,CREDIT,Numquam alias impedit maxime.
190,Mosquera-Medina S.A.S.,2025-01-04,500039.56,CREDIT,Sed saepe inventore dolorem aliquam.
191,Calderón and Sons S.A.S.,2024-08-18,630105.09,CREDIT,Tempora temporibus unde voluptatibus.
192,Castro-Flórez S.A.S.,2023-08-03,320736.11,CREDIT,Quis numquam vitae perspiciatis quis.
193,"García, Castro and Rendón S.A.S.",2023-06-12,68076.34,DEBIT,Tenetur odio magni.
194,Garcés-Buitrago S.A.S.,2022-08-27,977567.33,DEBIT,Doloremque voluptatibus blanditiis ut.
195,Oviedo-Domínguez S.A.S.,2020-06-13,540060.92,DEBIT,Inventore eaque quas a odit.
196,Portilla-Palacios S.A.S.,2024-05-17,674481.83,DEBIT,Nemo dolore officiis aliquid.
197,Muñoz LLC S.A.S.,2023-12-30,888399.88,CREDIT,Nobis voluptates quam aspernatur non.
198,Gómez-Cardozo S.A.S.,2025-01-15,541380.3,DEBIT,Eaque culpa consectetur tempora amet nemo.
199,Posada-Peña S.A.S.,2023-07-14,304682.44,DEBIT,Ipsum quisquam quidem repudiandae.
200,Oviedo-Domínguez S.A.S.,2022-09-19,533803.09,CREDIT,Deserunt nostrum aspernatur iste cupiditate.
201,Ramírez LLC S.A.S.,2021-08-10,755649.59,DEBIT,Vitae nesciunt expedita autem animi temporibus.
202,Vargas-Álvarez S.A.S.,2024-11-10,358167.99,DEBIT,Quidem molestiae sit laudantium.
203,Muñoz LLC S.A.S.,2024-02-21,6217.15,CREDIT,Tempore quae tempora quidem debitis iure.
204,Jaimes-Quintero S.A.S.,2024-01-04,450156.6,DEBIT,Vitae perspiciatis id velit maiores qui.
205,Calderón and Sons S.A.S.,2020-08-27,110666.29,DEBIT,Labore eligendi consectetur voluptate incidunt et.
206,Oviedo-Domínguez S.A.S.,2023-11-21,859315.48,DEBIT,Mollitia dolor minus nemo consectetur.
207,"Galvis, Ramírez and Angarita S.A.S.",2023-11-12,428877.2,DEBIT,Harum in quasi qui.
208,Rodríguez-Martínez S.A.S.,2024-01-21,275585.53,DEBIT,Porro a magnam delectus.
209,Gómez-Cardozo S.A.S.,2022-01-20,949747.68,CREDIT,Rerum modi pariatur velit provident.
210,Flórez Ltd S.A.S.,2022-07-06,539350.09,DEBIT,Rerum quam ipsam laboriosam suscipit.
211,"Reyes, Álvarez and Hernández S.A.S.",2021-03-19,702578.46,CREDIT,Eligendi magnam optio.
212,Portilla-Palacios S.A.S.,2024-07-17,268391.5,CREDIT,Inventore provident reiciendis nostrum.
213,Rodríguez-Martínez S.A.S.,2023-02-21,502759.91,DEBIT,Natus repellat eum a.
214,Gil-Salazar S.A.S.,2022-04-14,309782.15,CREDIT,Mollitia excepturi molestias.
215,"García, Castro and Rendón S.A.S.",2021-08-16,39258.81,CREDIT,Fugit perspiciatis voluptas dolore.
216,"Gómez, Sanabria and Pulido S.A.S.",2020-07-18,560624.06,CREDIT,Ad animi ratione necessitatibus tempora eligendi.
217,Portilla-Palacios S.A.S.,2022-08-02,593109.34,CREDIT,Vel quis aspernatur aliquid quibusdam magnam.
218,"Palacios, Becerra and Rodríguez S.A.S.",2025-02-15,822094.02,CREDIT,Rerum fugit earum.
219,Calderón and Sons S.A.S.,2021-09-23,124334.44,CREDIT,Ex dolore quae officiis.
220,Muñoz LLC S.A.S.,2021-10-30,517449.44,CREDIT,Excepturi repudiandae fugit.
221,Mosquera-Medina S.A.S.,2024-11-14,540557.15,CREDIT,Impedit voluptatibus quidem necessitatibus.
222,"Buitrago, García and García S.A.S.",2023-05-08,363855.93,DEBIT,Praesentium vero atque.
223,"Buitrago, García and García S.A.S.",2022-08-06,326291.12,DEBIT,In nesciunt pariatur assumenda non.
224,Reyes-Zambrano S.A.S.,2021-04-18,921811.71,DEBIT,Facere aliquam qui voluptates beatae animi.
225,Posada-Peña S.A.S.,2021-06-02,330305.6,CREDIT,Officiis magni repudiandae distinctio.
226,"Buitrago, García and García S.A.S.",2022-03-01,149460.27,CREDIT,Ab hic dignissimos.
227,"Reyes, Álvarez and Hernández S.A.S.",2025-01-07,163758.37,CREDIT,Veritatis sapiente omnis neque quidem fugiat.
228,"Galvis, Ramírez and Angarita S.A.S.",2021-03-06,464732.73,CREDIT,Qui harum neque occaecati.
229,Gil-Salazar S.A.S.,2021-09-21,293592.8,DEBIT,Facere quae error maiores quibusdam.
230,"García, Castro and Rendón S.A.S.",2022-12-19,799029.8,DEBIT,Nisi doloremque atque et quam.
231,Calderón and Sons S.A.S.,2022-09-04,821458.66,CREDIT,Error libero deleniti.
232,Garcés-Buitrago S.A.S.,2024-12-13,954747.26,CREDIT,Mollitia accusantium fugiat recusandae.
233,"Pacheco, Velandia and Ávila S.A.S.",2021-10-08,815218.55,CREDIT,Sit dolor exercitationem.
234,Castro-Flórez S.A.S.,2022-11-09,157167.85,DEBIT,Sapiente dolore beatae minus mollitia consequuntur.
235,Mosquera-Medina S.A.S.,2021-11-29,471423.81,DEBIT,Sed laudantium natus enim.
236,Portilla-Palacios S.A.S.,2023-08-19,975164.87,DEBIT,Dolorum deserunt amet aspernatur illo tempora.
237,"Galvis, Ramírez and Angarita S.A.S.",2024-09-14,556700.6,DEBIT,Eaque quia qui expedita.
238,Reyes-Zambrano S.A.S.,2023-11-15,671779.12,CREDIT,Minus corporis pariatur provident laudantium.
239,Flórez Ltd S.A.S.,2023-01-09,509959.06,DEBIT,Nulla tempora eveniet vitae expedita.
240,"Reyes, Álvarez and Hernández S.A.S.",2020-08-20,436843.41,CREDIT,Laboriosam optio quo facere dolor.
241,"Pacheco, Velandia and Ávila S.A.S.",2024-02-18,888077.02,DEBIT,Occaecati cupiditate rerum beatae aliquam.
242,Posada-Peña S.A.S.,2024-06-22,786421.66,DEBIT,Eligendi magni earum itaque.
243,Rodríguez-Martínez S.A.S.,2021-01-06,212270.29,CREDIT,Eveniet ullam excepturi voluptatibus pariatur.
244,Jaimes-Quintero S.A.S.,2021-11-18,273131.03,DEBIT,Nobis debitis sequi.
245,"Gómez, Sanabria and Pulido S.A.S.",2022-07-11,522317.82,DEBIT,Eligendi ea quam eos unde.
246,Gómez-Cardozo S.A.S.,2023-10-05,400795.0,DEBIT,Necessitatibus non autem exercitationem.
247,González Inc S.A.S.,2022-12-13,679459.65,DEBIT,Doloribus quae nisi accusamus hic molestias.
248,Posada-Peña S.A.S.,2021-06-02,214528.49,CREDIT,Voluptates veniam laborum eaque doloribus perferendis.
249,Durán-Bernal S.A.S.,2021-01-04,731653.79,DEBIT,Atque earum distinctio pariatur.
250,Castro-Flórez S.A.S.,2023-01-11,209679.31,DEBIT,Eius illum commodi ipsa ipsa dolor.
251,Castro-Flórez S.A.S.,2022-06-22,734803.31,DEBIT,Voluptas nihil reprehenderit ipsa.
252,"García, Castro and Rendón S.A.S.",2021-09-12,942033.7,DEBIT,Quisquam et dolores.
253,Oviedo-Domínguez S.A.S.,2023-10-31,518342.26,DEBIT,Consequatur ipsam natus aliquid nulla.
254,Flórez Ltd S.A.S.,2021-06-05,685365.68,CREDIT,Ratione itaque iusto laudantium.
255,Gil-Salazar S.A.S.,2024-09-14,96905.73,DEBIT,In nostrum delectus quibusdam officia.
256,González Inc S.A.S.,2024-09-21,492387.99,DEBIT,Earum reprehenderit adipisci incidunt dolorem dicta.
257,Gómez-Cardozo S.A.S.,2024-09-03,866869.53,CREDIT,Dicta necessitatibus possimus fugit beatae maiores.
258,Portilla-Palacios S.A.S.,2020-12-29,187449.55,DEBIT,Quaerat impedit aspernatur accusamus expedita.
259,Garcés-Buitrago S.A.S.,2023-06-21,826473.75,DEBIT,Doloribus ut sit.
